,Unnamed: 0,Nome do veículo,CNPJ do veículo,Agência/Contratada,CNPJ da Agência/Contratada,Nome da ação,Data início da veiculação,Data término da veiculação,Valor negociado (R$),Valor desembolso anunciante (R$),Grupo,Tipo televisão,Formato,Ano ação,Ano autorização,Status da veiculação
138,138,GLOBO NEWS,27.865.757/0001-02,ARTPLAN COMUNICAÇÃO.,33.673.286/0004-78,Pátria Voluntária - novo empenho,04/12/2019,20/12/2019,"R$ 64.398,60000","R$ 61.178,67000",GLOBO,FECHADA,FILME HDTV,2019,2019,Veiculado
331,331,GLOBO NEWS,27.865.757/0001-02,PPR,05.411.322/0008-13,Agenda Positiva - Regional 2019 - NOVO EMPENHO,18/12/2019,28/12/2019,"R$ 45.999,00000","R$ 43.699,05000",GLOBO,FECHADA,FILME HDTV,2019,2019,Veiculado
426,426,GLOBO NEWS,27.865.757/0001-02,ARTPLAN COMUNICAÇÃO.,33.673.286/0004-78,SEGURANÇA PÚBLICA - Medidas anticrime II - Pós-prorrogação contratual,04/10/2019,10/10/2019,"R$ 13.303,80000","R$ 12.638,61000",GLOBO,FECHADA,FILME HDTV,2019,2019,Veiculado
939,939,GLOBO NEWS,27.865.757/0001-02,ARTPLAN COMUNICAÇÃO.,33.673.286/0004-78,Nova Previdência - Fase 3,12/08/2019,27/08/2019,"R$ 45.999,00000","R$ 43.699,05000",GLOBO,FECHADA,FILME HDTV,2019,2019,Veiculado
1006,1006,GLOBO NEWS,27.865.757/0001-02,ARTPLAN COMUNICAÇÃO.,33.673.286/0004-78,Nova Previdência - continuidade,21/05/2019,31/05/2019,"R$ 19.385,60000","R$ 18.416,32000",GLOBO,FECHADA,FILME HDTV,2019,2019,Veiculado
1021,1021,GLOBO NEWS,27.865.757/0001-02,ARTPLAN COMUNICAÇÃO.,33.673.286/0004-78,Nova Previdência - continuidade,03/06/2019,14/06/2019,"R$ 73.598,40000","R$ 69.918,48000",GLOBO,FECHADA,FILME HDTV,2019,2019,Veiculado
1046,1046,GLOBO NEWS,27.865.757/0001-02,ARTPLAN COMUNICAÇÃO.,33.673.286/0004-78,Nova Previdência - continuidade,03/06/2019,14/06/2019,"R$ 15.521,10000","R$ 14.745,04000",GLOBO,FECHADA,FILME HDTV,2019,2019,Veiculado
1125,1125,GLOBO NEWS,27.865.757/0001-02,ARTPLAN COMUNICAÇÃO.,33.673.286/0004-78,Nova Previdência - Fase 3,02/08/2019,07/08/2019,"R$ 8.869,20000","R$ 8.425,74000",GLOBO,FECHADA,FILME HDTV,2019,2019,Veiculado
1147,1147,GLOBO NEWS,27.865.757/0001-02,ARTPLAN COMUNICAÇÃO.,33.673.286/0004-78,Nova Previdência - Fase 3,02/08/2019,07/08/2019,"R$ 9.692,80000","R$ 9.208,16000",GLOBO,FECHADA,FILME HDTV,2019,2019,Veiculado
1150,1150,GLOBO NEWS,27.865.757/0001-02,ARTPLAN COMUNICAÇÃO.,33.673.286/0004-78,Nova Previdência - continuidade,01/07/2019,12/07/2019,"R$ 15.521,10000","R$ 14.745,04000",GLOBO,FECHADA,FILME HDTV,2019,2019,Veiculado
1177,1177,GLOBO NEWS,27.865.757/0001-02,ARTPLAN COMUNICAÇÃO.,33.673.286/0004-78,Nova Previdência - Fase 3,02/08/2019,07/08/2019,"R$ 36.799,20000","R$ 34.959,24000",GLOBO,FECHADA,FILME HDTV,2019,2019,Veiculado
1210,1210,GLOBO NEWS,27.865.757/0001-02,ARTPLAN COMUNICAÇÃO.,33.673.286/0004-78,Pátria Voluntária - novo empenho,04/12/2019,20/12/2019,"R$ 26.607,60000","R$ 25.277,22000",GLOBO,FECHADA,FILME HDTV,2019,2019,Veiculado
1600,1600,GLOBO NEWS,27.865.757/0001-02,ARTPLAN COMUNICAÇÃO.,33.673.286/0004-78,Nova Previdência - continuidade,02/07/2019,12/07/2019,"R$ 36.799,20000","R$ 34.959,24000",GLOBO,FECHADA,FILME HDTV,2019,2019,Veiculado
1630,1630,GLOBO NEWS,27.865.757/0001-02,ARTPLAN COMUNICAÇÃO.,33.673.286/0004-78,Nova Previdência - continuidade,01/07/2019,12/07/2019,"R$ 21.808,80000","R$ 20.718,36000",GLOBO,FECHADA,FILME HDTV,2019,2019,Veiculado
1631,1631,GLOBO NEWS,27.865.757/0001-02,ARTPLAN COMUNICAÇÃO.,33.673.286/0004-78,Nova Previdência - continuidade,01/07/2019,11/07/2019,"R$ 45.999,00000","R$ 43.699,05000",GLOBO,FECHADA,FILME HDTV,2019,2019,Veiculado
1723,1723,GLOBO NEWS,27.865.757/0001-02,ARTPLAN COMUNICAÇÃO.,33.673.286/0004-78,Nova Previdência - continuidade,17/06/2019,30/06/2019,"R$ 42.128,70000","R$ 40.022,26000",GLOBO,FECHADA,FILME HDTV,2019,2019,Veiculado
1724,1724,GLOBO NEWS,27.865.757/0001-02,ARTPLAN COMUNICAÇÃO.,33.673.286/0004-78,Nova Previdência - continuidade,17/06/2019,30/06/2019,"R$ 50.887,20000","R$ 48.342,84000",GLOBO,FECHADA,FILME HDTV,2019,2019,Veiculado
1914,1914,GLOBO NEWS,27.865.757/0001-02,ARTPLAN COMUNICAÇÃO.,33.673.286/0004-78,Nova Previdência - continuidade,02/07/2019,11/07/2019,"R$ 8.869,20000","R$ 8.425,74000",GLOBO,FECHADA,FILME HDTV,2019,2019,Veiculado
2005,2005,GLOBO NEWS,27.865.757/0001-02,ARTPLAN COMUNICAÇÃO.,33.673.286/0004-78,Nova Previdência - continuidade,21/05/2019,31/05/2019,"R$ 17.738,40000","R$ 16.851,48000",GLOBO,FECHADA,FILME HDTV,2019,2019,Veiculado
2006,2006,GLOBO NEWS,27.865.757/0001-02,ARTPLAN COMUNICAÇÃO.,33.673.286/0004-78,Nova Previdência - continuidade,22/05/2019,30/05/2019,"R$ 16.962,40000","R$ 16.114,28000",GLOBO,FECHADA,FILME HDTV,2019,2019,Veiculado
2053,2053,GLOBO NEWS,27.865.757/0001-02,ARTPLAN COMUNICAÇÃO.,33.673.286/0004-78,Nova Previdência - continuidade,22/05/2019,30/05/2019,"R$ 11.086,50000","R$ 10.532,17000",GLOBO,FECHADA,FILME HDTV,2019,2019,Veiculado
2063,2063,GLOBO NEWS,27.865.757/0001-02,ARTPLAN COMUNICAÇÃO.,33.673.286/0004-78,Nova Previdência - continuidade,21/05/2019,30/05/2019,"R$ 55.198,80000","R$ 52.438,86000",GLOBO,FECHADA,FILME HDTV,2019,2019,Veiculado
2104,2104,GLOBO NEWS,27.865.757/0001-02,ARTPLAN COMUNICAÇÃO.,33.673.286/0004-78,Nova Previdência - continuidade,03/07/2019,12/07/2019,"R$ 12.116,00000","R$ 11.510,20000",GLOBO,FECHADA,FILME HDTV,2019,2019,Veiculado
2105,2105,GLOBO NEWS,27.865.757/0001-02,ARTPLAN COMUNICAÇÃO.,33.673.286/0004-78,Nova Previdência - continuidade,02/07/2019,10/07/2019,"R$ 9.692,80000","R$ 9.208,16000",GLOBO,FECHADA,FILME HDTV,2019,2019,Veiculado
2106,2106,GLOBO NEWS,27.865.757/0001-02,ARTPLAN COMUNICAÇÃO.,33.673.286/0004-78,Nova Previdência - continuidade,01/07/2019,11/07/2019,"R$ 64.398,60000","R$ 61.178,67000",GLOBO,FECHADA,FILME HDTV,2019,2019,Veiculado
2114,2114,GLOBO NEWS,27.865.757/0001-02,ARTPLAN COMUNICAÇÃO.,33.673.286/0004-78,Nova Previdência - continuidade,22/05/2019,31/05/2019,"R$ 55.198,80000","R$ 52.438,86000",GLOBO,FECHADA,FILME HDTV,2019,2019,Veiculado
2506,2506,GLOBO NEWS,27.865.757/0001-02,FIELDS,03.509.498/0001-00,Campanha de Vacinação Geral e Influenza 2019 - TV e IN - Fields,11/04/2019,04/05/2019,"R$ 128.323,20000","R$ 121.907,04000",GLOBO,FECHADA,30,2019,2019,Veiculado
2558,2558,GLOBO NEWS,27.865.757/0001-02,PROPEG COMUNICAÇÃO,05.428.409/0001-27,DEPROT - CAMPANHA GASTRONOMIA - MÍDIA II,24/12/2019,31/12/2019,"R$ 12.116,00000","R$ 11.510,20000",GLOBO,FECHADA,30,2019,2019,Veiculado
2559,2559,GLOBO NEWS,27.865.757/0001-02,PROPEG COMUNICAÇÃO,05.428.409/0001-27,DEPROT - CAMPANHA GASTRONOMIA - MÍDIA II,24/12/2019,31/12/2019,"R$ 91.998,00000","R$ 87.398,10000",GLOBO,FECHADA,30,2019,2019,Veiculado
3555,3555,GLOBO NEWS,27.865.757/0001-02,PPR,05.411.322/0008-13,Agenda Positiva - Regional 2019 - NOVO EMPENHO,21/12/2019,21/12/2019,"R$ 2.217,30000","R$ 2.106,43000",GLOBO,FECHADA,FILME HDTV,2019,2019,Veiculado
3773,3773,GLOBO NEWS,27.865.757/0001-02,PPR,05.411.322/0008-13,Agenda Positiva - Regional 2019 - NOVO EMPENHO,18/12/2019,26/12/2019,"R$ 6.651,90000","R$ 6.319,30000",GLOBO,FECHADA,FILME HDTV,2019,2019,Veiculado
3774,3774,GLOBO NEWS,27.865.757/0001-02,PPR,05.411.322/0008-13,Agenda Positiva - Regional 2019 - NOVO EMPENHO,18/12/2019,27/12/2019,"R$ 13.303,80000","R$ 12.638,61000",GLOBO,FECHADA,FILME HDTV,2019,2019,Veiculado
3775,3775,GLOBO NEWS,27.865.757/0001-02,PPR,05.411.322/0008-13,Agenda Positiva - Regional 2019 - NOVO EMPENHO,21/12/2019,28/12/2019,"R$ 6.651,90000","R$ 6.319,30000",GLOBO,FECHADA,FILME HDTV,2019,2019,Veiculado
4032,4032,GLOBO NEWS,27.865.757/0001-02,PPR,05.411.322/0008-13,Agenda Positiva - Regional 2019 - NOVO EMPENHO,19/12/2019,27/12/2019,"R$ 36.799,20000","R$ 34.959,24000",GLOBO,FECHADA,FILME HDTV,2019,2019,Veiculado
4579,4579,GLOBO NEWS,27.865.757/0001-02,ARTPLAN COMUNICAÇÃO.,33.673.286/0004-78,Pátria Voluntária - novo empenho,04/12/2019,20/12/2019,"R$ 28.824,90000","R$ 27.383,65000",GLOBO,FECHADA,FILME HDTV,2019,2019,Veiculado
4727,4727,GLOBO NEWS,27.865.757/0001-02,ARTPLAN COMUNICAÇÃO.,33.673.286/0004-78,SEGURANÇA PÚBLICA - Medidas anticrime II - Pós-prorrogação contratual,10/10/2019,10/10/2019,"R$ 2.217,30000","R$ 2.106,43000",GLOBO,FECHADA,FILME HDTV,2019,2019,Veiculado
4728,4728,GLOBO NEWS,27.865.757/0001-02,ARTPLAN COMUNICAÇÃO.,33.673.286/0004-78,SEGURANÇA PÚBLICA - Medidas anticrime II - Pós-prorrogação contratual,07/10/2019,07/10/2019,"R$ 9.199,80000","R$ 8.739,81000",GLOBO,FECHADA,FILME HDTV,2019,2019,Veiculado
4756,4756,GLOBO NEWS,27.865.757/0001-02,CALIA/Y2,04.784.569/0002-27,Ação de oportunidade - Dia da Amazônia,05/09/2019,05/09/2019,"R$ 7.689,00000","R$ 7.304,55000",GLOBO,FECHADA,FILME HDTV,2019,2019,Veiculado
4881,4881,GLOBO NEWS,27.865.757/0001-02,ARTPLAN COMUNICAÇÃO.,33.673.286/0004-78,Nova Previdência - Fase 3 - PÓS PRORROGAÇÃO CONTRATUAL,16/09/2019,27/09/2019,"R$ 91.998,00000","R$ 87.398,10000",GLOBO,FECHADA,FILME HDTV,2019,2019,Veiculado
4952,4952,GLOBO NEWS,27.865.757/0001-02,ARTPLAN COMUNICAÇÃO.,33.673.286/0004-78,Nova Previdência - Fase 3 - PÓS PRORROGAÇÃO CONTRATUAL,16/09/2019,27/09/2019,"R$ 21.808,80000","R$ 20.718,36000",GLOBO,FECHADA,FILME HDTV,2019,2019,Veiculado
5020,5020,GLOBO NEWS,27.865.757/0001-02,CALIA/Y2,04.784.569/0002-27,Ação de oportunidade - Dia da Amazônia,05/09/2019,05/09/2019,"R$ 29.052,00000","R$ 27.599,40000",GLOBO,FECHADA,FILME HDTV,2019,2019,Veiculado
6577,6577,GLOBO NEWS,27.865.757/0001-02,ARTPLAN COMUNICAÇÃO.,33.673.286/0004-78,Nova Previdência - continuidade,03/06/2019,14/06/2019,"R$ 17.738,40000","R$ 16.851,48000",GLOBO,FECHADA,FILME HDTV,2019,2019,Veiculado
6600,6600,GLOBO NEWS,27.865.757/0001-02,ARTPLAN COMUNICAÇÃO.,33.673.286/0004-78,SEGURANÇA PÚBLICA - Medidas anticrime II - Pós-prorrogação contratual,07/10/2019,25/10/2019,"R$ 6.651,90000","R$ 6.319,30000",GLOBO,FECHADA,FILME HDTV,2019,2019,Veiculado
6601,6601,GLOBO NEWS,27.865.757/0001-02,ARTPLAN COMUNICAÇÃO.,33.673.286/0004-78,SEGURANÇA PÚBLICA - Medidas anticrime II - Pós-prorrogação contratual,08/10/2019,25/10/2019,"R$ 18.399,60000","R$ 17.479,62000",GLOBO,FECHADA,FILME HDTV,2019,2019,Veiculado
6692,6692,GLOBO NEWS,27.865.757/0001-02,PPR,05.411.322/0008-13,Agenda Positiva - Regional 2019 - NOVO EMPENHO,19/12/2019,28/12/2019,"R$ 13.303,80000","R$ 12.638,61000",GLOBO,FECHADA,FILME HDTV,2019,2019,Veiculado
6771,6771,GLOBO NEWS,27.865.757/0001-02,ARTPLAN COMUNICAÇÃO.,33.673.286/0004-78,Enfrentamento à Violência Contra a Mulher - 2019,28/11/2019,30/11/2019,"R$ 19.955,70000","R$ 18.957,91000",GLOBO,FECHADA,FILME HDTV,2019,2019,Veiculado
6772,6772,GLOBO NEWS,27.865.757/0001-02,ARTPLAN COMUNICAÇÃO.,33.673.286/0004-78,Enfrentamento à Violência Contra a Mulher - 2019,28/11/2019,30/11/2019,"R$ 73.598,40000","R$ 69.918,48000",GLOBO,FECHADA,FILME HDTV,2019,2019,Veiculado
6790,6790,GLOBO NEWS,27.865.757/0001-02,ARTPLAN COMUNICAÇÃO.,33.673.286/0004-78,Nova Previdência - continuidade,17/06/2019,30/06/2019,"R$ 165.596,40000","R$ 157.316,58000",GLOBO,FECHADA,FILME HDTV,2019,2019,Veiculado
6877,6877,GLOBO NEWS,27.865.757/0001-02,PPR,05.411.322/0008-13,Agenda Positiva - Regional 2019 - NOVO EMPENHO,18/12/2019,28/12/2019,"R$ 36.799,20000","R$ 34.959,24000",GLOBO,FECHADA,FILME HDTV,2019,2019,Veiculado
6922,6922,GLOBO NEWS,27.865.757/0001-02,ARTPLAN COMUNICAÇÃO.,33.673.286/0004-78,Nova Previdência - continuidade,04/06/2019,14/06/2019,"R$ 16.962,40000","R$ 16.114,28000",GLOBO,FECHADA,FILME HDTV,2019,2019,Veiculado
6923,6923,GLOBO NEWS,27.865.757/0001-02,ARTPLAN COMUNICAÇÃO.,33.673.286/0004-78,Nova Previdência - continuidade,03/06/2019,14/06/2019,"R$ 21.808,80000","R$ 20.718,36000",GLOBO,FECHADA,FILME HDTV,2019,2019,Veiculado
